NR_SEQ_EXAME;NM_EXAME;CD_EXAME_INTEGRACAO;RESPOSTA
18399;Acido Fenilglioxilico (Matrix);AFG; Cod_exame = 18399 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18399;Acido Fenilglioxilico (Matrix);AFG; Cod_exame = 18399 | Material= Urina | Estab_liberado = Hospital do Coracao
18027;Acido Folico  (Matrix);FOL; Cod_exame = 18027 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18027;Acido Folico  (Matrix);FOL; Cod_exame = 18027 | Material= Soro | Estab_liberado = Hospital do Coracao
19040;Acido Folico Eritrocitario (Matrix);FOERI; Cod_exame = 19040 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19040;Acido Folico Eritrocitario (Matrix);FOERI; Cod_exame = 19040 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18400;Acido Hialuronico, Dosagem (Matrix);ACHIA; Cod_exame = 18400 | Material= Urina | Estab_liberado = Hospital do Coracao
18400;Acido Hialuronico, Dosagem (Matrix);ACHIA; Cod_exame = 18400 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18029;Acido Hipurico - Urina Final De Jornada (Matrix);APU; Cod_exame = 18029 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18029;Acido Hipurico - Urina Final De Jornada (Matrix);APU; Cod_exame = 18029 | Material= Urina | Estab_liberado = Hospital do Coracao
18028;Acido Hipurico - Urina Inicio De Jornada (Matrix);AHI; Cod_exame = 18028 | Material= Urina | Estab_liberado = Hospital do Coracao
18028;Acido Hipurico - Urina Inicio De Jornada (Matrix);AHI; Cod_exame = 18028 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18030;Acido Homovanilico (Matrix);AHO; Cod_exame = 18030 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
18030;Acido Homovanilico (Matrix);AHO; Cod_exame = 18030 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18031;Acido Latico - Gasometria 3 Horas (Matrix);LAC3; Cod_exame = 18031 | Material= SANGUE TOTAL HEPARINIZADO | Estab_liberado = Hospital do Coracao
18031;Acido Latico - Gasometria 3 Horas (Matrix);LAC3; Cod_exame = 18031 | Material= SANGUE TOTAL HEPARINIZADO | Estab_liberado = Hospital Santa Luzia
19098;Acido Latico - Gasometria 6 Horas (Matrix);LAC6; Cod_exame = 19098 | Material= SANGUE TOTAL HEPARINIZADO | Estab_liberado = Hospital do Coracao
19098;Acido Latico - Gasometria 6 Horas (Matrix);LAC6; Cod_exame = 19098 | Material= SANGUE TOTAL HEPARINIZADO | Estab_liberado = Hospital Santa Luzia
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquor | Estab_liberado = Hospital do Coracao
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Pericardico | Estab_liberado = Hospital Santa Luzia
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Sinovial | Estab_liberado = Hospital Santa Luzia
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Pericardico | Estab_liberado = Hospital do Coracao
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
19175;Acido Latico - Liquidos Corporais (Matrix);LACLC; Cod_exame = 19175 | Material= Líquido Sinovial | Estab_liberado = Hospital do Coracao
18033;Acido Latico - Liquor (Matrix);LACLQ; Cod_exame = 18033 | Material= Líquor | Estab_liberado = Hospital do Coracao
18033;Acido Latico - Liquor (Matrix);LACLQ; Cod_exame = 18033 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
18034;Acido Latico - Soro (Tubo Gel) (Matrix);LACSO; Cod_exame = 18034 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18034;Acido Latico - Soro (Tubo Gel) (Matrix);LACSO; Cod_exame = 18034 | Material= Soro | Estab_liberado = Hospital do Coracao
18486;Acido Latico - Soro (Tubo Gel) 3 Horas (Matrix);LACSO3; Cod_exame = 18486 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18486;Acido Latico - Soro (Tubo Gel) 3 Horas (Matrix);LACSO3; Cod_exame = 18486 | Material= Soro | Estab_liberado = Hospital do Coracao
18487;Acido Latico - Tubo Cinza - 3 Horas (Matrix);LAC3H; Cod_exame = 18487 | Material= PLASMA FLUORETADO | Estab_liberado = Hospital Santa Luzia
18487;Acido Latico - Tubo Cinza - 3 Horas (Matrix);LAC3H; Cod_exame = 18487 | Material= PLASMA FLUORETADO | Estab_liberado = Hospital do Coracao
19418;Acido Latico (Lactato) - Soro - 6 Horas (matrix);LACSO6; Cod_exame = 19418 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19418;Acido Latico (Lactato) - Soro - 6 Horas (matrix);LACSO6; Cod_exame = 19418 | Material= Soro | Estab_liberado = Hospital do Coracao
18035;Acido Mandelico - Urina Final De Jornada (Matrix);AMA; Cod_exame = 18035 | Material= Urina | Estab_liberado = Hospital do Coracao
18035;Acido Mandelico - Urina Final De Jornada (Matrix);AMA; Cod_exame = 18035 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18037;Acido Metilhipurico - Urina Final Da Jornada (Matrix);AMH; Cod_exame = 18037 | Material= Urina | Estab_liberado = Hospital do Coracao
18037;Acido Metilhipurico - Urina Final Da Jornada (Matrix);AMH; Cod_exame = 18037 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18036;Acido Metilhipurico - Urina Inicio De Jornada (Matrix);AMHI; Cod_exame = 18036 | Material= Urina | Estab_liberado = Hospital do Coracao
18036;Acido Metilhipurico - Urina Inicio De Jornada (Matrix);AMHI; Cod_exame = 18036 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18488;Acido Metilmalonico - Urinario (Matrix);ACMETU; Cod_exame = 18488 | Material= URINA CONGELADA | Estab_liberado = Hospital Santa Luzia
18488;Acido Metilmalonico - Urinario (Matrix);ACMETU; Cod_exame = 18488 | Material= URINA CONGELADA | Estab_liberado = Hospital do Coracao
18401;Acido Metilmalonico Serico (Matrix);ACMET; Cod_exame = 18401 | Material= SORO CONGELADO | Estab_liberado = Hospital do Coracao
18401;Acido Metilmalonico Serico (Matrix);ACMET; Cod_exame = 18401 | Material= SORO CONGELADO | Estab_liberado = Hospital Santa Luzia
18402;Acido Oxalico - Urina Recente (Matrix);AOXU; Cod_exame = 18402 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18402;Acido Oxalico - Urina Recente (Matrix);AOXU; Cod_exame = 18402 | Material= Urina | Estab_liberado = Hospital do Coracao
18489;Acido Oxalico - Urina 24 Horas (Matrix);AOXU24; Cod_exame = 18489 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital Santa Luzia
18489;Acido Oxalico - Urina 24 Horas (Matrix);AOXU24; Cod_exame = 18489 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital do Coracao
18403;Acido Oxalico Serico (Matrix);AOX; Cod_exame = 18403 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18403;Acido Oxalico Serico (Matrix);AOX; Cod_exame = 18403 | Material= Soro | Estab_liberado = Hospital do Coracao
18490;Acido Trans,Trans Muconico - Urina Final De Jornada (Matrix);ACTR; Cod_exame = 18490 | Material= Urina | Estab_liberado = Hospital do Coracao
18490;Acido Trans,Trans Muconico - Urina Final De Jornada (Matrix);ACTR; Cod_exame = 18490 | Material= Urina | Estab_liberado = Hospital Santa Luzia
19216;Acido Tricloroacetico (Matrix);ATA; Cod_exame = 19216 | Material= Urina | Estab_liberado = Hospital do Coracao
19216;Acido Tricloroacetico (Matrix);ATA; Cod_exame = 19216 | Material= Urina | Estab_liberado = Hospital Santa Luzia
19176;Acido Urico - Liquidos Corporais (Matrix);AURLC; Cod_exame = 19176 | Material= Líquido Sinovial | Estab_liberado = Hospital Santa Luzia
19176;Acido Urico - Liquidos Corporais (Matrix);AURLC; Cod_exame = 19176 | Material= Líquido Sinovial | Estab_liberado = Hospital do Coracao
18491;Acido Urico - Urina Recente (Matrix);AURU; Cod_exame = 18491 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18491;Acido Urico - Urina Recente (Matrix);AURU; Cod_exame = 18491 | Material= Urina | Estab_liberado = Hospital do Coracao
18039;Acido Urico - Urina 24 Horas (Matrix);AURU24; Cod_exame = 18039 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
18039;Acido Urico - Urina 24 Horas (Matrix);AURU24; Cod_exame = 18039 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
18038;Acido Urico (Matrix);AUR; Cod_exame = 18038 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18038;Acido Urico (Matrix);AUR; Cod_exame = 18038 | Material= Soro | Estab_liberado = Hospital do Coracao
18040;Acido Valproico (Matrix);ACV; Cod_exame = 18040 | Material= Soro | Estab_liberado = Hospital do Coracao
18040;Acido Valproico (Matrix);ACV; Cod_exame = 18040 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18041;Acido Vanil Mandelico - Urina (Matrix);VMAIS; Cod_exame = 18041 | Material= URINA PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18041;Acido Vanil Mandelico - Urina (Matrix);VMAIS; Cod_exame = 18041 | Material= URINA PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
18041;Acido Vanil Mandelico - Urina (Matrix);VMAIS; Cod_exame = 18041 | Material= URINA 24 HORAS COM CONSERVANTE PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
18041;Acido Vanil Mandelico - Urina (Matrix);VMAIS; Cod_exame = 18041 | Material= URINA 24 HORAS COM CONSERVANTE PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18492;Acido Vanil Mandelico - Urina 24H (Matrix);VMA; Cod_exame = 18492 | Material= URINA 24 HORAS COM CONSERVANTE PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18492;Acido Vanil Mandelico - Urina 24H (Matrix);VMA; Cod_exame = 18492 | Material= URINA 24 HORAS COM CONSERVANTE PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
18395;Acido 5 Hidroxi Indolacetico (Matrix);A5H; Cod_exame = 18395 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
18395;Acido 5 Hidroxi Indolacetico (Matrix);A5H; Cod_exame = 18395 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
18493;Acidos Biliares - Sangue (Matrix);ACBIL; Cod_exame = 18493 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18493;Acidos Biliares - Sangue (Matrix);ACBIL; Cod_exame = 18493 | Material= Soro | Estab_liberado = Hospital do Coracao
18042;Acidos Graxos De Cadeia Muito Longa (Matrix);ACGXL; Cod_exame = 18042 | Material= Soro | Estab_liberado = Hospital do Coracao
18042;Acidos Graxos De Cadeia Muito Longa (Matrix);ACGXL; Cod_exame = 18042 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18404;Acidos Graxos Livres (Matrix);AGL; Cod_exame = 18404 | Material= Soro | Estab_liberado = Hospital do Coracao
18404;Acidos Graxos Livres (Matrix);AGL; Cod_exame = 18404 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18494;Acidos Organicos - Cromatografia Na Urina (Matrix);ACORG; Cod_exame = 18494 | Material= URINA CONGELADA | Estab_liberado = Hospital do Coracao
18494;Acidos Organicos - Cromatografia Na Urina (Matrix);ACORG; Cod_exame = 18494 | Material= URINA CONGELADA | Estab_liberado = Hospital Santa Luzia
18495;Acidos Organicos - Urina (Matrix);AORU; Cod_exame = 18495 | Material= Urina | Estab_liberado = Hospital do Coracao
18495;Acidos Organicos - Urina (Matrix);AORU; Cod_exame = 18495 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18405;Acidos Organicos (Matrix);AOR; Cod_exame = 18405 | Material= SORO CONGELADO | Estab_liberado = Hospital do Coracao
18405;Acidos Organicos (Matrix);AOR; Cod_exame = 18405 | Material= SORO CONGELADO | Estab_liberado = Hospital Santa Luzia
18496;Adamts - 13 (Matrix);ATPRW; Cod_exame = 18496 | Material= Plasma Congelado | Estab_liberado = Hospital do Coracao
18496;Adamts - 13 (Matrix);ATPRW; Cod_exame = 18496 | Material= Plasma Congelado | Estab_liberado = Hospital Santa Luzia
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Ascítico | Estab_liberado = Hospital do Coracao
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquor | Estab_liberado = Hospital do Coracao
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Pericardico | Estab_liberado = Hospital do Coracao
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Pericardico | Estab_liberado = Hospital Santa Luzia
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Peritoneal | Estab_liberado = Hospital Santa Luzia
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Peritoneal | Estab_liberado = Hospital do Coracao
18137;Adenosina Deaminase ADA - Diversos (Matrix);ADALC; Cod_exame = 18137 | Material= Líquido Ascítico | Estab_liberado = Hospital Santa Luzia
18043;Adenosina Deaminase ADA - Liquido Ascitico (Matrix);ADALA; Cod_exame = 18043 | Material= Líquido Ascítico | Estab_liberado = Hospital Santa Luzia
18043;Adenosina Deaminase ADA - Liquido Ascitico (Matrix);ADALA; Cod_exame = 18043 | Material= Líquido Ascítico | Estab_liberado = Hospital do Coracao
18044;Adenosina Deaminase ADA - Liquido Pericardico (Matrix);ADAPE; Cod_exame = 18044 | Material= Líquido Pericardico | Estab_liberado = Hospital do Coracao
18044;Adenosina Deaminase ADA - Liquido Pericardico (Matrix);ADAPE; Cod_exame = 18044 | Material= Líquido Pericardico | Estab_liberado = Hospital Santa Luzia
18498;Adenosina Deaminase Ada - Liquido Peritoneal (Matrix);ADALR; Cod_exame = 18498 | Material= Líquido Peritoneal | Estab_liberado = Hospital Santa Luzia
18498;Adenosina Deaminase Ada - Liquido Peritoneal (Matrix);ADALR; Cod_exame = 18498 | Material= Líquido Peritoneal | Estab_liberado = Hospital do Coracao
18045;Adenosina Deaminase ADA - Liquido Pleural (Matrix);ADAPL; Cod_exame = 18045 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
18045;Adenosina Deaminase ADA - Liquido Pleural (Matrix);ADAPL; Cod_exame = 18045 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
18499;Adenosina Deaminase Ada - Liquor (Matrix);ADAL; Cod_exame = 18499 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
18499;Adenosina Deaminase Ada - Liquor (Matrix);ADAL; Cod_exame = 18499 | Material= Líquor | Estab_liberado = Hospital do Coracao
18497;Adenosina Deaminase Ada (Matrix);ADAS; Cod_exame = 18497 | Material= Soro | Estab_liberado = Hospital do Coracao
18497;Adenosina Deaminase Ada (Matrix);ADAS; Cod_exame = 18497 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18406;Adenovirus - Anticorpos IGG (Matrix);ADENO; Cod_exame = 18406 | Material= Soro | Estab_liberado = Hospital do Coracao
18406;Adenovirus - Anticorpos IGG (Matrix);ADENO; Cod_exame = 18406 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18407;Adenovirus - Anticorpos IGM (Matrix);ADENM; Cod_exame = 18407 | Material= Soro | Estab_liberado = Hospital do Coracao
18407;Adenovirus - Anticorpos IGM (Matrix);ADENM; Cod_exame = 18407 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18138;Adenovirus - Pesquisa Nas Fezes (Matrix);ADENF; Cod_exame = 18138 | Material= Fezes | Estab_liberado = Hospital do Coracao
18138;Adenovirus - Pesquisa Nas Fezes (Matrix);ADENF; Cod_exame = 18138 | Material= Fezes | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Fezes | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Lavado Broncoalveolar | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Fezes | Estab_liberado = Hospital do Coracao
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Lavado Broncoalveolar | Estab_liberado = Hospital do Coracao
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Aspirado de Nasofaringe | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Swab Nasal | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Aspirado Traqueal | Estab_liberado = Hospital Santa Luzia
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Aspirado Traqueal | Estab_liberado = Hospital do Coracao
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Aspirado de Nasofaringe | Estab_liberado = Hospital do Coracao
19177;Adenovirus, Pesquisa - Diversos (Matrix);ADENPD; Cod_exame = 19177 | Material= Swab Nasal | Estab_liberado = Hospital do Coracao
18500;Adiponectina (Matrix);ADIPO; Cod_exame = 18500 | Material= SORO CONGELADO | Estab_liberado = Hospital do Coracao
18500;Adiponectina (Matrix);ADIPO; Cod_exame = 18500 | Material= SORO CONGELADO | Estab_liberado = Hospital Santa Luzia
19371;Adrenoleucodistrofia, Pesquisa (Matrix);ADRENOLE; Cod_exame = 19371 | Material= Diversos | Estab_liberado = Hospital do Coracao
19371;Adrenoleucodistrofia, Pesquisa (Matrix);ADRENOLE; Cod_exame = 19371 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
19264;Agregacao de Plaquetas - Acido Aracdonico (Matrix);AGPARA; Cod_exame = 19264 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19264;Agregacao de Plaquetas - Acido Aracdonico (Matrix);AGPARA; Cod_exame = 19264 | Material= Sangue | Estab_liberado = Hospital do Coracao
19265;Agregacao de Plaquetas - ADP (Matrix);AGPADP; Cod_exame = 19265 | Material= Sangue | Estab_liberado = Hospital do Coracao
19265;Agregacao de Plaquetas - ADP (Matrix);AGPADP; Cod_exame = 19265 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19266;Agregacao de Plaquetas - Adrenalina (Matrix);AGPADR; Cod_exame = 19266 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19266;Agregacao de Plaquetas - Adrenalina (Matrix);AGPADR; Cod_exame = 19266 | Material= Sangue | Estab_liberado = Hospital do Coracao
19267;Agregacao de Plaquetas - Colageno (Matrix);AGPCOL; Cod_exame = 19267 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19267;Agregacao de Plaquetas - Colageno (Matrix);AGPCOL; Cod_exame = 19267 | Material= Sangue | Estab_liberado = Hospital do Coracao
19251;Agregacao de Plaquetas - Ristocetina (Matrix);AGPRIS; Cod_exame = 19251 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19251;Agregacao de Plaquetas - Ristocetina (Matrix);AGPRIS; Cod_exame = 19251 | Material= Sangue | Estab_liberado = Hospital do Coracao
19252;Agregacao de Plaquetas (Matrix);AGPL; Cod_exame = 19252 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19252;Agregacao de Plaquetas (Matrix);AGPL; Cod_exame = 19252 | Material= Sangue | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Ascítico | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Diversos | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Pericardico | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= LIQUIDOS CORPORAIS | Estab_liberado = Hospital Santa Luzia
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= LIQUIDOS CORPORAIS | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Pericardico | Estab_liberado = Hospital Santa Luzia
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Ascítico | Estab_liberado = Hospital Santa Luzia
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Peritoneal | Estab_liberado = Hospital Santa Luzia
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Peritoneal | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
18139;Albumina - Liquidos Corporais (Matrix);ALBLC; Cod_exame = 18139 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
18140;Albumina - Soro (Matrix);ALB; Cod_exame = 18140 | Material= Soro | Estab_liberado = Hospital do Coracao
18140;Albumina - Soro (Matrix);ALB; Cod_exame = 18140 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18141;Aldolase (Matrix);ALD; Cod_exame = 18141 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18141;Aldolase (Matrix);ALD; Cod_exame = 18141 | Material= Soro | Estab_liberado = Hospital do Coracao
18142;Aldosterona (Matrix);ANA; Cod_exame = 18142 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18142;Aldosterona (Matrix);ANA; Cod_exame = 18142 | Material= Soro | Estab_liberado = Hospital do Coracao
18408;Aldosterona 24 Horas (Matrix);ANA24; Cod_exame = 18408 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
18408;Aldosterona 24 Horas (Matrix);ANA24; Cod_exame = 18408 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
41609;Alfa Fetoproteina - Liquor (Matrix);AFELQ; Cod_exame = 41609 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
41609;Alfa Fetoproteina - Liquor (Matrix);AFELQ; Cod_exame = 41609 | Material= Líquor | Estab_liberado = Hospital do Coracao
18145;Alfa Fetoproteina (Matrix);AFE; Cod_exame = 18145 | Material= Soro | Estab_liberado = Hospital do Coracao
